Time (CET),Day-ahead Total Load Forecast [MW] - Cyprus (CY),Actual Total Load [MW] - Cyprus (CY)
23.06.2018 21:00 - 23.06.2018 21:30,0,553
23.06.2018 21:30 - 23.06.2018 22:00,0,540
23.06.2018 22:00 - 23.06.2018 22:30,0,527
23.06.2018 22:30 - 23.06.2018 23:00,0,515
23.06.2018 23:00 - 23.06.2018 23:30,0,496
23.06.2018 23:30 - 24.06.2018 00:00,0,479
24.06.2018 00:00 - 24.06.2018 00:30,0,465
24.06.2018 00:30 - 24.06.2018 01:00,0,454
24.06.2018 01:00 - 24.06.2018 01:30,0,441
24.06.2018 01:30 - 24.06.2018 02:00,0,429
24.06.2018 02:00 - 24.06.2018 02:30,0,422
24.06.2018 02:30 - 24.06.2018 03:00,0,416
24.06.2018 03:00 - 24.06.2018 03:30,0,410
24.06.2018 03:30 - 24.06.2018 04:00,0,404
24.06.2018 04:00 - 24.06.2018 04:30,0,399
24.06.2018 04:30 - 24.06.2018 05:00,0,380
24.06.2018 05:00 - 24.06.2018 05:30,0,383
24.06.2018 05:30 - 24.06.2018 06:00,0,393
24.06.2018 06:00 - 24.06.2018 06:30,0,401
24.06.2018 06:30 - 24.06.2018 07:00,0,413
24.06.2018 07:00 - 24.06.2018 07:30,0,427
24.06.2018 07:30 - 24.06.2018 08:00,0,437
24.06.2018 08:00 - 24.06.2018 08:30,0,446
24.06.2018 08:30 - 24.06.2018 09:00,0,458
24.06.2018 09:00 - 24.06.2018 09:30,0,461
24.06.2018 09:30 - 24.06.2018 10:00,0,465
24.06.2018 10:00 - 24.06.2018 10:30,0,470
24.06.2018 10:30 - 24.06.2018 11:00,0,478
24.06.2018 11:00 - 24.06.2018 11:30,0,484
24.06.2018 11:30 - 24.06.2018 12:00,0,489
24.06.2018 12:00 - 24.06.2018 12:30,0,489
24.06.2018 12:30 - 24.06.2018 13:00,0,489
24.06.2018 13:00 - 24.06.2018 13:30,0,492
24.06.2018 13:30 - 24.06.2018 14:00,0,497
24.06.2018 14:00 - 24.06.2018 14:30,0,512
24.06.2018 14:30 - 24.06.2018 15:00,0,518
24.06.2018 15:00 - 24.06.2018 15:30,0,525
24.06.2018 15:30 - 24.06.2018 16:00,0,535
24.06.2018 16:00 - 24.06.2018 16:30,0,543
24.06.2018 16:30 - 24.06.2018 17:00,0,550
24.06.2018 17:00 - 24.06.2018 17:30,0,555
24.06.2018 17:30 - 24.06.2018 18:00,0,560
24.06.2018 18:00 - 24.06.2018 18:30,0,558
24.06.2018 18:30 - 24.06.2018 19:00,0,551
24.06.2018 19:00 - 24.06.2018 19:30,0,551
24.06.2018 19:30 - 24.06.2018 20:00,0,581
24.06.2018 20:00 - 24.06.2018 20:30,0,585
24.06.2018 20:30 - 24.06.2018 21:00,0,579
24.06.2018 21:00 - 24.06.2018 21:30,0,570
24.06.2018 21:30 - 24.06.2018 22:00,0,561
24.06.2018 22:00 - 24.06.2018 22:30,0,547
24.06.2018 22:30 - 24.06.2018 23:00,0,531
24.06.2018 23:00 - 24.06.2018 23:30,0,509
24.06.2018 23:30 - 25.06.2018 00:00,0,491
25.06.2018 00:00 - 25.06.2018 00:30,0,475
25.06.2018 00:30 - 25.06.2018 01:00,0,460
25.06.2018 01:00 - 25.06.2018 01:30,0,448
25.06.2018 01:30 - 25.06.2018 02:00,0,438
25.06.2018 02:00 - 25.06.2018 02:30,0,429
25.06.2018 02:30 - 25.06.2018 03:00,0,424
25.06.2018 03:00 - 25.06.2018 03:30,0,419
25.06.2018 03:30 - 25.06.2018 04:00,0,418
25.06.2018 04:00 - 25.06.2018 04:30,0,420
25.06.2018 04:30 - 25.06.2018 05:00,0,407
25.06.2018 05:00 - 25.06.2018 05:30,0,423
25.06.2018 05:30 - 25.06.2018 06:00,0,448
25.06.2018 06:00 - 25.06.2018 06:30,0,487
25.06.2018 06:30 - 25.06.2018 07:00,0,539
25.06.2018 07:00 - 25.06.2018 07:30,0,582
25.06.2018 07:30 - 25.06.2018 08:00,0,622
25.06.2018 08:00 - 25.06.2018 08:30,0,642
25.06.2018 08:30 - 25.06.2018 09:00,0,660
25.06.2018 09:00 - 25.06.2018 09:30,0,671
25.06.2018 09:30 - 25.06.2018 10:00,0,683
25.06.2018 10:00 - 25.06.2018 10:30,0,680
25.06.2018 10:30 - 25.06.2018 11:00,0,677
25.06.2018 11:00 - 25.06.2018 11:30,0,678
25.06.2018 11:30 - 25.06.2018 12:00,0,681
25.06.2018 12:00 - 25.06.2018 12:30,0,680
25.06.2018 12:30 - 25.06.2018 13:00,0,680
25.06.2018 13:00 - 25.06.2018 13:30,0,695
25.06.2018 13:30 - 25.06.2018 14:00,0,695
25.06.2018 14:00 - 25.06.2018 14:30,0,690
25.06.2018 14:30 - 25.06.2018 15:00,0,685
25.06.2018 15:00 - 25.06.2018 15:30,0,684
25.06.2018 15:30 - 25.06.2018 16:00,0,684
25.06.2018 16:00 - 25.06.2018 16:30,0,682
25.06.2018 16:30 - 25.06.2018 17:00,0,680
25.06.2018 17:00 - 25.06.2018 17:30,0,669
25.06.2018 17:30 - 25.06.2018 18:00,0,663
25.06.2018 18:00 - 25.06.2018 18:30,0,646
25.06.2018 18:30 - 25.06.2018 19:00,0,630
25.06.2018 19:00 - 25.06.2018 19:30,0,620
25.06.2018 19:30 - 25.06.2018 20:00,0,642
25.06.2018 20:00 - 25.06.2018 20:30,0,638
25.06.2018 20:30 - 25.06.2018 21:00,0,627
25.06.2018 21:00 - 25.06.2018 21:30,0,607
25.06.2018 21:30 - 25.06.2018 22:00,0,591
25.06.2018 22:00 - 25.06.2018 22:30,0,578
25.06.2018 22:30 - 25.06.2018 23:00,0,556
25.06.2018 23:00 - 25.06.2018 23:30,0,534
25.06.2018 23:30 - 26.06.2018 00:00,0,511
26.06.2018 00:00 - 26.06.2018 00:30,0,492
26.06.2018 00:30 - 26.06.2018 01:00,0,479
26.06.2018 01:00 - 26.06.2018 01:30,0,467
26.06.2018 01:30 - 26.06.2018 02:00,0,457
26.06.2018 02:00 - 26.06.2018 02:30,0,444
26.06.2018 02:30 - 26.06.2018 03:00,0,438
26.06.2018 03:00 - 26.06.2018 03:30,0,432
26.06.2018 03:30 - 26.06.2018 04:00,0,428
26.06.2018 04:00 - 26.06.2018 04:30,0,429
26.06.2018 04:30 - 26.06.2018 05:00,0,412
26.06.2018 05:00 - 26.06.2018 05:30,0,431
26.06.2018 05:30 - 26.06.2018 06:00,0,454
26.06.2018 06:00 - 26.06.2018 06:30,0,490
26.06.2018 06:30 - 26.06.2018 07:00,0,540
26.06.2018 07:00 - 26.06.2018 07:30,0,582
26.06.2018 07:30 - 26.06.2018 08:00,0,623
26.06.2018 08:00 - 26.06.2018 08:30,0,641
26.06.2018 08:30 - 26.06.2018 09:00,0,660
26.06.2018 09:00 - 26.06.2018 09:30,0,668
26.06.2018 09:30 - 26.06.2018 10:00,0,672
26.06.2018 10:00 - 26.06.2018 10:30,0,674
26.06.2018 10:30 - 26.06.2018 11:00,0,671
26.06.2018 11:00 - 26.06.2018 11:30,0,675
26.06.2018 11:30 - 26.06.2018 12:00,0,681
26.06.2018 12:00 - 26.06.2018 12:30,0,679
26.06.2018 12:30 - 26.06.2018 13:00,0,675
26.06.2018 13:00 - 26.06.2018 13:30,0,677
26.06.2018 13:30 - 26.06.2018 14:00,0,680
26.06.2018 14:00 - 26.06.2018 14:30,0,683
26.06.2018 14:30 - 26.06.2018 15:00,0,685
26.06.2018 15:00 - 26.06.2018 15:30,0,686
26.06.2018 15:30 - 26.06.2018 16:00,0,687
26.06.2018 16:00 - 26.06.2018 16:30,0,687
26.06.2018 16:30 - 26.06.2018 17:00,0,681
26.06.2018 17:00 - 26.06.2018 17:30,0,672
26.06.2018 17:30 - 26.06.2018 18:00,0,664
26.06.2018 18:00 - 26.06.2018 18:30,0,646
26.06.2018 18:30 - 26.06.2018 19:00,0,627
26.06.2018 19:00 - 26.06.2018 19:30,0,615
26.06.2018 19:30 - 26.06.2018 20:00,0,640
26.06.2018 20:00 - 26.06.2018 20:30,0,637
26.06.2018 20:30 - 26.06.2018 21:00,0,625
26.06.2018 21:00 - 26.06.2018 21:30,0,612
26.06.2018 21:30 - 26.06.2018 22:00,0,597
26.06.2018 22:00 - 26.06.2018 22:30,0,579
26.06.2018 22:30 - 26.06.2018 23:00,0,559
26.06.2018 23:00 - 26.06.2018 23:30,0,537
26.06.2018 23:30 - 27.06.2018 00:00,0,514
27.06.2018 00:00 - 27.06.2018 00:30,0,496
27.06.2018 00:30 - 27.06.2018 01:00,0,482
27.06.2018 01:00 - 27.06.2018 01:30,0,469
27.06.2018 01:30 - 27.06.2018 02:00,0,455
27.06.2018 02:00 - 27.06.2018 02:30,0,447
27.06.2018 02:30 - 27.06.2018 03:00,0,440
27.06.2018 03:00 - 27.06.2018 03:30,0,432
27.06.2018 03:30 - 27.06.2018 04:00,0,428
27.06.2018 04:00 - 27.06.2018 04:30,0,431
27.06.2018 04:30 - 27.06.2018 05:00,0,413
27.06.2018 05:00 - 27.06.2018 05:30,0,428
27.06.2018 05:30 - 27.06.2018 06:00,0,454
27.06.2018 06:00 - 27.06.2018 06:30,0,489
27.06.2018 06:30 - 27.06.2018 07:00,0,538
27.06.2018 07:00 - 27.06.2018 07:30,0,582
27.06.2018 07:30 - 27.06.2018 08:00,0,622
27.06.2018 08:00 - 27.06.2018 08:30,0,643
27.06.2018 08:30 - 27.06.2018 09:00,0,663
27.06.2018 09:00 - 27.06.2018 09:30,0,672
27.06.2018 09:30 - 27.06.2018 10:00,0,678
27.06.2018 10:00 - 27.06.2018 10:30,0,682
27.06.2018 10:30 - 27.06.2018 11:00,0,684
27.06.2018 11:00 - 27.06.2018 11:30,0,685
27.06.2018 11:30 - 27.06.2018 12:00,0,692
27.06.2018 12:00 - 27.06.2018 12:30,0,693
27.06.2018 12:30 - 27.06.2018 13:00,0,692
27.06.2018 13:00 - 27.06.2018 13:30,0,701
27.06.2018 13:30 - 27.06.2018 14:00,0,707
27.06.2018 14:00 - 27.06.2018 14:30,0,698
27.06.2018 14:30 - 27.06.2018 15:00,0,700
27.06.2018 15:00 - 27.06.2018 15:30,0,694
27.06.2018 15:30 - 27.06.2018 16:00,0,692
27.06.2018 16:00 - 27.06.2018 16:30,0,689
27.06.2018 16:30 - 27.06.2018 17:00,0,683
27.06.2018 17:00 - 27.06.2018 17:30,0,677
27.06.2018 17:30 - 27.06.2018 18:00,0,668
27.06.2018 18:00 - 27.06.2018 18:30,0,653
27.06.2018 18:30 - 27.06.2018 19:00,0,640
27.06.2018 19:00 - 27.06.2018 19:30,0,636
27.06.2018 19:30 - 27.06.2018 20:00,0,657
27.06.2018 20:00 - 27.06.2018 20:30,0,655
27.06.2018 20:30 - 27.06.2018 21:00,0,646
27.06.2018 21:00 - 27.06.2018 21:30,0,635
27.06.2018 21:30 - 27.06.2018 22:00,0,624
27.06.2018 22:00 - 27.06.2018 22:30,0,611
27.06.2018 22:30 - 27.06.2018 23:00,0,592
27.06.2018 23:00 - 27.06.2018 23:30,0,570
27.06.2018 23:30 - 28.06.2018 00:00,0,548
28.06.2018 00:00 - 28.06.2018 00:30,0,533
28.06.2018 00:30 - 28.06.2018 01:00,0,514
28.06.2018 01:00 - 28.06.2018 01:30,0,499
28.06.2018 01:30 - 28.06.2018 02:00,0,489
28.06.2018 02:00 - 28.06.2018 02:30,0,480
28.06.2018 02:30 - 28.06.2018 03:00,0,474
28.06.2018 03:00 - 28.06.2018 03:30,0,469
28.06.2018 03:30 - 28.06.2018 04:00,0,466
28.06.2018 04:00 - 28.06.2018 04:30,0,466
28.06.2018 04:30 - 28.06.2018 05:00,0,449
28.06.2018 05:00 - 28.06.2018 05:30,0,462
28.06.2018 05:30 - 28.06.2018 06:00,0,485
28.06.2018 06:00 - 28.06.2018 06:30,0,514
28.06.2018 06:30 - 28.06.2018 07:00,0,569
28.06.2018 07:00 - 28.06.2018 07:30,0,608
28.06.2018 07:30 - 28.06.2018 08:00,0,645
28.06.2018 08:00 - 28.06.2018 08:30,0,653
28.06.2018 08:30 - 28.06.2018 09:00,0,674
28.06.2018 09:00 - 28.06.2018 09:30,0,684
28.06.2018 09:30 - 28.06.2018 10:00,0,687
28.06.2018 10:00 - 28.06.2018 10:30,0,688
28.06.2018 10:30 - 28.06.2018 11:00,0,682
28.06.2018 11:00 - 28.06.2018 11:30,0,687
28.06.2018 11:30 - 28.06.2018 12:00,0,684
28.06.2018 12:00 - 28.06.2018 12:30,0,683
28.06.2018 12:30 - 28.06.2018 13:00,0,673
28.06.2018 13:00 - 28.06.2018 13:30,0,677
28.06.2018 13:30 - 28.06.2018 14:00,0,678
28.06.2018 14:00 - 28.06.2018 14:30,0,673
28.06.2018 14:30 - 28.06.2018 15:00,0,678
28.06.2018 15:00 - 28.06.2018 15:30,0,677
28.06.2018 15:30 - 28.06.2018 16:00,0,679
28.06.2018 16:00 - 28.06.2018 16:30,0,680
28.06.2018 16:30 - 28.06.2018 17:00,0,678
28.06.2018 17:00 - 28.06.2018 17:30,0,672
28.06.2018 17:30 - 28.06.2018 18:00,0,662
28.06.2018 18:00 - 28.06.2018 18:30,0,641
28.06.2018 18:30 - 28.06.2018 19:00,0,621
28.06.2018 19:00 - 28.06.2018 19:30,0,610
28.06.2018 19:30 - 28.06.2018 20:00,0,629
28.06.2018 20:00 - 28.06.2018 20:30,0,621
28.06.2018 20:30 - 28.06.2018 21:00,0,609
28.06.2018 21:00 - 28.06.2018 21:30,0,596
28.06.2018 21:30 - 28.06.2018 22:00,0,579
28.06.2018 22:00 - 28.06.2018 22:30,0,564
28.06.2018 22:30 - 28.06.2018 23:00,0,548
28.06.2018 23:00 - 28.06.2018 23:30,0,528
28.06.2018 23:30 - 29.06.2018 00:00,0,503
29.06.2018 00:00 - 29.06.2018 00:30,0,489
29.06.2018 00:30 - 29.06.2018 01:00,0,475
29.06.2018 01:00 - 29.06.2018 01:30,0,462
29.06.2018 01:30 - 29.06.2018 02:00,0,451
29.06.2018 02:00 - 29.06.2018 02:30,0,442
29.06.2018 02:30 - 29.06.2018 03:00,0,434
29.06.2018 03:00 - 29.06.2018 03:30,0,428
29.06.2018 03:30 - 29.06.2018 04:00,0,426
29.06.2018 04:00 - 29.06.2018 04:30,0,424
29.06.2018 04:30 - 29.06.2018 05:00,0,412
29.06.2018 05:00 - 29.06.2018 05:30,0,426
29.06.2018 05:30 - 29.06.2018 06:00,0,451
29.06.2018 06:00 - 29.06.2018 06:30,0,490
29.06.2018 06:30 - 29.06.2018 07:00,0,533
29.06.2018 07:00 - 29.06.2018 07:30,0,573
29.06.2018 07:30 - 29.06.2018 08:00,0,604
29.06.2018 08:00 - 29.06.2018 08:30,0,617
29.06.2018 08:30 - 29.06.2018 09:00,0,631
29.06.2018 09:00 - 29.06.2018 09:30,0,637
29.06.2018 09:30 - 29.06.2018 10:00,0,638
29.06.2018 10:00 - 29.06.2018 10:30,0,636
29.06.2018 10:30 - 29.06.2018 11:00,0,632
29.06.2018 11:00 - 29.06.2018 11:30,0,633
29.06.2018 11:30 - 29.06.2018 12:00,0,634
29.06.2018 12:00 - 29.06.2018 12:30,0,633
29.06.2018 12:30 - 29.06.2018 13:00,0,623
29.06.2018 13:00 - 29.06.2018 13:30,0,627
29.06.2018 13:30 - 29.06.2018 14:00,0,627
29.06.2018 14:00 - 29.06.2018 14:30,0,623
29.06.2018 14:30 - 29.06.2018 15:00,0,627
29.06.2018 15:00 - 29.06.2018 15:30,0,630
29.06.2018 15:30 - 29.06.2018 16:00,0,632
29.06.2018 16:00 - 29.06.2018 16:30,0,634
29.06.2018 16:30 - 29.06.2018 17:00,0,633
29.06.2018 17:00 - 29.06.2018 17:30,0,625
29.06.2018 17:30 - 29.06.2018 18:00,0,619
29.06.2018 18:00 - 29.06.2018 18:30,0,609
29.06.2018 18:30 - 29.06.2018 19:00,0,593
29.06.2018 19:00 - 29.06.2018 19:30,0,583
29.06.2018 19:30 - 29.06.2018 20:00,0,602
29.06.2018 20:00 - 29.06.2018 20:30,0,592
29.06.2018 20:30 - 29.06.2018 21:00,0,576
29.06.2018 21:00 - 29.06.2018 21:30,0,557
29.06.2018 21:30 - 29.06.2018 22:00,0,543
29.06.2018 22:00 - 29.06.2018 22:30,0,531
29.06.2018 22:30 - 29.06.2018 23:00,0,513
29.06.2018 23:00 - 29.06.2018 23:30,0,500
29.06.2018 23:30 - 30.06.2018 00:00,0,483
30.06.2018 00:00 - 30.06.2018 00:30,0,470
30.06.2018 00:30 - 30.06.2018 01:00,0,457
30.06.2018 01:00 - 30.06.2018 01:30,0,445
30.06.2018 01:30 - 30.06.2018 02:00,0,432
30.06.2018 02:00 - 30.06.2018 02:30,0,427
30.06.2018 02:30 - 30.06.2018 03:00,0,420
30.06.2018 03:00 - 30.06.2018 03:30,0,412
30.06.2018 03:30 - 30.06.2018 04:00,0,413
30.06.2018 04:00 - 30.06.2018 04:30,0,411
30.06.2018 04:30 - 30.06.2018 05:00,0,389
30.06.2018 05:00 - 30.06.2018 05:30,0,398
30.06.2018 05:30 - 30.06.2018 06:00,0,409
30.06.2018 06:00 - 30.06.2018 06:30,0,428
30.06.2018 06:30 - 30.06.2018 07:00,0,453
30.06.2018 07:00 - 30.06.2018 07:30,0,472
30.06.2018 07:30 - 30.06.2018 08:00,0,492
30.06.2018 08:00 - 30.06.2018 08:30,0,508
30.06.2018 08:30 - 30.06.2018 09:00,0,523
30.06.2018 09:00 - 30.06.2018 09:30,0,534
30.06.2018 09:30 - 30.06.2018 10:00,0,536
30.06.2018 10:00 - 30.06.2018 10:30,0,531
30.06.2018 10:30 - 30.06.2018 11:00,0,540
30.06.2018 11:00 - 30.06.2018 11:30,0,535
30.06.2018 11:30 - 30.06.2018 12:00,0,537
30.06.2018 12:00 - 30.06.2018 12:30,0,537
30.06.2018 12:30 - 30.06.2018 13:00,0,538
30.06.2018 13:00 - 30.06.2018 13:30,0,533
30.06.2018 13:30 - 30.06.2018 14:00,0,532
30.06.2018 14:00 - 30.06.2018 14:30,0,534
30.06.2018 14:30 - 30.06.2018 15:00,0,535
30.06.2018 15:00 - 30.06.2018 15:30,0,543
30.06.2018 15:30 - 30.06.2018 16:00,0,550
30.06.2018 16:00 - 30.06.2018 16:30,0,556
30.06.2018 16:30 - 30.06.2018 17:00,0,563
30.06.2018 17:00 - 30.06.2018 17:30,0,568
30.06.2018 17:30 - 30.06.2018 18:00,0,567
30.06.2018 18:00 - 30.06.2018 18:30,0,565
30.06.2018 18:30 - 30.06.2018 19:00,0,560
30.06.2018 19:00 - 30.06.2018 19:30,0,552
30.06.2018 19:30 - 30.06.2018 20:00,0,573
30.06.2018 20:00 - 30.06.2018 20:30,0,566
30.06.2018 20:30 - 30.06.2018 21:00,0,553
30.06.2018 21:00 - 30.06.2018 21:30,0,543
30.06.2018 21:30 - 30.06.2018 22:00,0,531
30.06.2018 22:00 - 30.06.2018 22:30,0,514
30.06.2018 22:30 - 30.06.2018 23:00,0,503
30.06.2018 23:00 - 30.06.2018 23:30,0,488
30.06.2018 23:30 - 01.07.2018 00:00,0,478
01.07.2018 00:00 - 01.07.2018 00:30,0,463
01.07.2018 00:30 - 01.07.2018 01:00,0,451
01.07.2018 01:00 - 01.07.2018 01:30,0,441
01.07.2018 01:30 - 01.07.2018 02:00,0,430
01.07.2018 02:00 - 01.07.2018 02:30,0,425
01.07.2018 02:30 - 01.07.2018 03:00,0,414
01.07.2018 03:00 - 01.07.2018 03:30,0,409
01.07.2018 03:30 - 01.07.2018 04:00,0,406
01.07.2018 04:00 - 01.07.2018 04:30,0,406
01.07.2018 04:30 - 01.07.2018 05:00,0,382
01.07.2018 05:00 - 01.07.2018 05:30,0,384
01.07.2018 05:30 - 01.07.2018 06:00,0,395
01.07.2018 06:00 - 01.07.2018 06:30,0,404
01.07.2018 06:30 - 01.07.2018 07:00,0,417
01.07.2018 07:00 - 01.07.2018 07:30,0,428
01.07.2018 07:30 - 01.07.2018 08:00,0,440
01.07.2018 08:00 - 01.07.2018 08:30,0,448
01.07.2018 08:30 - 01.07.2018 09:00,0,457
01.07.2018 09:00 - 01.07.2018 09:30,0,461
01.07.2018 09:30 - 01.07.2018 10:00,0,467
01.07.2018 10:00 - 01.07.2018 10:30,0,469
01.07.2018 10:30 - 01.07.2018 11:00,0,473
01.07.2018 11:00 - 01.07.2018 11:30,0,474
01.07.2018 11:30 - 01.07.2018 12:00,0,479
01.07.2018 12:00 - 01.07.2018 12:30,0,478
01.07.2018 12:30 - 01.07.2018 13:00,0,475
01.07.2018 13:00 - 01.07.2018 13:30,0,476
01.07.2018 13:30 - 01.07.2018 14:00,0,482
01.07.2018 14:00 - 01.07.2018 14:30,0,486
01.07.2018 14:30 - 01.07.2018 15:00,0,494
01.07.2018 15:00 - 01.07.2018 15:30,0,499
01.07.2018 15:30 - 01.07.2018 16:00,0,509
01.07.2018 16:00 - 01.07.2018 16:30,0,518
01.07.2018 16:30 - 01.07.2018 17:00,0,533
01.07.2018 17:00 - 01.07.2018 17:30,0,539
01.07.2018 17:30 - 01.07.2018 18:00,0,543
01.07.2018 18:00 - 01.07.2018 18:30,0,541
01.07.2018 18:30 - 01.07.2018 19:00,0,535
01.07.2018 19:00 - 01.07.2018 19:30,0,535
01.07.2018 19:30 - 01.07.2018 20:00,0,566
01.07.2018 20:00 - 01.07.2018 20:30,0,572
01.07.2018 20:30 - 01.07.2018 21:00,0,564
01.07.2018 21:00 - 01.07.2018 21:30,0,557
01.07.2018 21:30 - 01.07.2018 22:00,0,547
01.07.2018 22:00 - 01.07.2018 22:30,0,536
01.07.2018 22:30 - 01.07.2018 23:00,0,520
01.07.2018 23:00 - 01.07.2018 23:30,0,501
01.07.2018 23:30 - 02.07.2018 00:00,0,482
02.07.2018 00:00 - 02.07.2018 00:30,0,465
02.07.2018 00:30 - 02.07.2018 01:00,0,446
02.07.2018 01:00 - 02.07.2018 01:30,0,436
02.07.2018 01:30 - 02.07.2018 02:00,0,426
02.07.2018 02:00 - 02.07.2018 02:30,0,419
02.07.2018 02:30 - 02.07.2018 03:00,0,414
02.07.2018 03:00 - 02.07.2018 03:30,0,410
02.07.2018 03:30 - 02.07.2018 04:00,0,409
02.07.2018 04:00 - 02.07.2018 04:30,0,411
02.07.2018 04:30 - 02.07.2018 05:00,0,394
02.07.2018 05:00 - 02.07.2018 05:30,0,409
02.07.2018 05:30 - 02.07.2018 06:00,0,437
02.07.2018 06:00 - 02.07.2018 06:30,0,477
02.07.2018 06:30 - 02.07.2018 07:00,0,524
02.07.2018 07:00 - 02.07.2018 07:30,0,566
02.07.2018 07:30 - 02.07.2018 08:00,0,604
02.07.2018 08:00 - 02.07.2018 08:30,0,626
02.07.2018 08:30 - 02.07.2018 09:00,0,644
02.07.2018 09:00 - 02.07.2018 09:30,0,650
02.07.2018 09:30 - 02.07.2018 10:00,0,653
02.07.2018 10:00 - 02.07.2018 10:30,0,651
02.07.2018 10:30 - 02.07.2018 11:00,0,648
02.07.2018 11:00 - 02.07.2018 11:30,0,650
02.07.2018 11:30 - 02.07.2018 12:00,0,654
02.07.2018 12:00 - 02.07.2018 12:30,0,656
02.07.2018 12:30 - 02.07.2018 13:00,0,655
02.07.2018 13:00 - 02.07.2018 13:30,0,662
02.07.2018 13:30 - 02.07.2018 14:00,0,670
02.07.2018 14:00 - 02.07.2018 14:30,0,670
02.07.2018 14:30 - 02.07.2018 15:00,0,671
02.07.2018 15:00 - 02.07.2018 15:30,0,672
02.07.2018 15:30 - 02.07.2018 16:00,0,675
02.07.2018 16:00 - 02.07.2018 16:30,0,673
02.07.2018 16:30 - 02.07.2018 17:00,0,668
02.07.2018 17:00 - 02.07.2018 17:30,0,660
02.07.2018 17:30 - 02.07.2018 18:00,0,653
02.07.2018 18:00 - 02.07.2018 18:30,0,639
02.07.2018 18:30 - 02.07.2018 19:00,0,622
02.07.2018 19:00 - 02.07.2018 19:30,0,611
02.07.2018 19:30 - 02.07.2018 20:00,0,634
02.07.2018 20:00 - 02.07.2018 20:30,0,632
02.07.2018 20:30 - 02.07.2018 21:00,0,621
02.07.2018 21:00 - 02.07.2018 21:30,0,607
02.07.2018 21:30 - 02.07.2018 22:00,0,593
02.07.2018 22:00 - 02.07.2018 22:30,0,578
02.07.2018 22:30 - 02.07.2018 23:00,0,557
02.07.2018 23:00 - 02.07.2018 23:30,0,535
02.07.2018 23:30 - 03.07.2018 00:00,0,513
03.07.2018 00:00 - 03.07.2018 00:30,0,495
03.07.2018 00:30 - 03.07.2018 01:00,0,482
03.07.2018 01:00 - 03.07.2018 01:30,0,465
03.07.2018 01:30 - 03.07.2018 02:00,0,454
03.07.2018 02:00 - 03.07.2018 02:30,0,443
03.07.2018 02:30 - 03.07.2018 03:00,0,436
03.07.2018 03:00 - 03.07.2018 03:30,0,429
03.07.2018 03:30 - 03.07.2018 04:00,0,429
03.07.2018 04:00 - 03.07.2018 04:30,0,428
03.07.2018 04:30 - 03.07.2018 05:00,0,414
03.07.2018 05:00 - 03.07.2018 05:30,0,430
03.07.2018 05:30 - 03.07.2018 06:00,0,456
03.07.2018 06:00 - 03.07.2018 06:30,0,490
03.07.2018 06:30 - 03.07.2018 07:00,0,543
03.07.2018 07:00 - 03.07.2018 07:30,0,583
03.07.2018 07:30 - 03.07.2018 08:00,0,624
03.07.2018 08:00 - 03.07.2018 08:30,0,646
03.07.2018 08:30 - 03.07.2018 09:00,0,664
03.07.2018 09:00 - 03.07.2018 09:30,0,671
03.07.2018 09:30 - 03.07.2018 10:00,0,684
03.07.2018 10:00 - 03.07.2018 10:30,0,689
03.07.2018 10:30 - 03.07.2018 11:00,0,688
03.07.2018 11:00 - 03.07.2018 11:30,0,693
03.07.2018 11:30 - 03.07.2018 12:00,0,703
03.07.2018 12:00 - 03.07.2018 12:30,0,698
03.07.2018 12:30 - 03.07.2018 13:00,0,703
03.07.2018 13:00 - 03.07.2018 13:30,0,710
03.07.2018 13:30 - 03.07.2018 14:00,0,721
03.07.2018 14:00 - 03.07.2018 14:30,0,722
03.07.2018 14:30 - 03.07.2018 15:00,0,725
03.07.2018 15:00 - 03.07.2018 15:30,0,724
03.07.2018 15:30 - 03.07.2018 16:00,0,727
03.07.2018 16:00 - 03.07.2018 16:30,0,722
03.07.2018 16:30 - 03.07.2018 17:00,0,715
03.07.2018 17:00 - 03.07.2018 17:30,0,707
03.07.2018 17:30 - 03.07.2018 18:00,0,695
03.07.2018 18:00 - 03.07.2018 18:30,0,675
03.07.2018 18:30 - 03.07.2018 19:00,0,655
03.07.2018 19:00 - 03.07.2018 19:30,0,644
03.07.2018 19:30 - 03.07.2018 20:00,0,665
03.07.2018 20:00 - 03.07.2018 20:30,0,664
03.07.2018 20:30 - 03.07.2018 21:00,0,654
03.07.2018 21:00 - 03.07.2018 21:30,0,641
03.07.2018 21:30 - 03.07.2018 22:00,0,628
03.07.2018 22:00 - 03.07.2018 22:30,0,617
03.07.2018 22:30 - 03.07.2018 23:00,0,601
03.07.2018 23:00 - 03.07.2018 23:30,0,579
03.07.2018 23:30 - 04.07.2018 00:00,0,563
04.07.2018 00:00 - 04.07.2018 00:30,0,541
04.07.2018 00:30 - 04.07.2018 01:00,0,524
04.07.2018 01:00 - 04.07.2018 01:30,0,510
04.07.2018 01:30 - 04.07.2018 02:00,0,499
04.07.2018 02:00 - 04.07.2018 02:30,0,487
04.07.2018 02:30 - 04.07.2018 03:00,0,477
04.07.2018 03:00 - 04.07.2018 03:30,0,470
04.07.2018 03:30 - 04.07.2018 04:00,0,465
04.07.2018 04:00 - 04.07.2018 04:30,0,466
04.07.2018 04:30 - 04.07.2018 05:00,0,446
04.07.2018 05:00 - 04.07.2018 05:30,0,462
04.07.2018 05:30 - 04.07.2018 06:00,0,484
