Time (WET),Belarus (BY) > Lithuania (LT) [MW],Lithuania (LT) > Belarus (BY) [MW]
19.06.2018 15:00 - 19.06.2018 16:00,193,0
19.06.2018 16:00 - 19.06.2018 17:00,123,0
19.06.2018 17:00 - 19.06.2018 18:00,30,0
19.06.2018 18:00 - 19.06.2018 19:00,11,0
19.06.2018 19:00 - 19.06.2018 20:00,63,0
19.06.2018 20:00 - 19.06.2018 21:00,94,0
19.06.2018 21:00 - 19.06.2018 22:00,215,0
19.06.2018 22:00 - 19.06.2018 23:00,392,0
19.06.2018 23:00 - 20.06.2018 00:00,279,0
20.06.2018 00:00 - 20.06.2018 01:00,331,0
20.06.2018 01:00 - 20.06.2018 02:00,388,0
20.06.2018 02:00 - 20.06.2018 03:00,321,0
20.06.2018 03:00 - 20.06.2018 04:00,209,0
20.06.2018 04:00 - 20.06.2018 05:00,61,0
20.06.2018 05:00 - 20.06.2018 06:00,192,0
20.06.2018 06:00 - 20.06.2018 07:00,122,0
20.06.2018 07:00 - 20.06.2018 08:00,67,0
20.06.2018 08:00 - 20.06.2018 09:00,126,0
20.06.2018 09:00 - 20.06.2018 10:00,128,0
20.06.2018 10:00 - 20.06.2018 11:00,106,0
20.06.2018 11:00 - 20.06.2018 12:00,60,0
20.06.2018 12:00 - 20.06.2018 13:00,92,0
20.06.2018 13:00 - 20.06.2018 14:00,106,0
20.06.2018 14:00 - 20.06.2018 15:00,125,0
20.06.2018 15:00 - 20.06.2018 16:00,171,0
20.06.2018 16:00 - 20.06.2018 17:00,181,0
20.06.2018 17:00 - 20.06.2018 18:00,172,0
20.06.2018 18:00 - 20.06.2018 19:00,189,0
20.06.2018 19:00 - 20.06.2018 20:00,189,0
20.06.2018 20:00 - 20.06.2018 21:00,141,0
20.06.2018 21:00 - 20.06.2018 22:00,202,0
20.06.2018 22:00 - 20.06.2018 23:00,348,0
20.06.2018 23:00 - 21.06.2018 00:00,161,0
21.06.2018 00:00 - 21.06.2018 01:00,96,0
21.06.2018 01:00 - 21.06.2018 02:00,147,0
21.06.2018 02:00 - 21.06.2018 03:00,176,0
21.06.2018 03:00 - 21.06.2018 04:00,108,0
21.06.2018 04:00 - 21.06.2018 05:00,11,0
21.06.2018 05:00 - 21.06.2018 06:00,0,120
21.06.2018 06:00 - 21.06.2018 07:00,0,16
21.06.2018 07:00 - 21.06.2018 08:00,0,9
21.06.2018 08:00 - 21.06.2018 09:00,0,51
21.06.2018 09:00 - 21.06.2018 10:00,0,33
21.06.2018 10:00 - 21.06.2018 11:00,0,53
21.06.2018 11:00 - 21.06.2018 12:00,0,18
21.06.2018 12:00 - 21.06.2018 13:00,1,0
21.06.2018 13:00 - 21.06.2018 14:00,32,0
21.06.2018 14:00 - 21.06.2018 15:00,170,0
21.06.2018 15:00 - 21.06.2018 16:00,198,0
21.06.2018 16:00 - 21.06.2018 17:00,170,0
21.06.2018 17:00 - 21.06.2018 18:00,0,81
21.06.2018 18:00 - 21.06.2018 19:00,0,164
21.06.2018 19:00 - 21.06.2018 20:00,111,0
21.06.2018 20:00 - 21.06.2018 21:00,0,23
21.06.2018 21:00 - 21.06.2018 22:00,0,37
21.06.2018 22:00 - 21.06.2018 23:00,0,2
21.06.2018 23:00 - 22.06.2018 00:00,37,0
22.06.2018 00:00 - 22.06.2018 01:00,34,0
22.06.2018 01:00 - 22.06.2018 02:00,0,40
22.06.2018 02:00 - 22.06.2018 03:00,0,5
22.06.2018 03:00 - 22.06.2018 04:00,39,0
22.06.2018 04:00 - 22.06.2018 05:00,0,43
22.06.2018 05:00 - 22.06.2018 06:00,0,141
22.06.2018 06:00 - 22.06.2018 07:00,49,0
22.06.2018 07:00 - 22.06.2018 08:00,31,0
22.06.2018 08:00 - 22.06.2018 09:00,0,40
22.06.2018 09:00 - 22.06.2018 10:00,0,52
22.06.2018 10:00 - 22.06.2018 11:00,0,19
22.06.2018 11:00 - 22.06.2018 12:00,0,27
22.06.2018 12:00 - 22.06.2018 13:00,15,0
22.06.2018 13:00 - 22.06.2018 14:00,16,0
22.06.2018 14:00 - 22.06.2018 15:00,162,0
22.06.2018 15:00 - 22.06.2018 16:00,164,0
22.06.2018 16:00 - 22.06.2018 17:00,136,0
22.06.2018 17:00 - 22.06.2018 18:00,0,36
22.06.2018 18:00 - 22.06.2018 19:00,29,0
22.06.2018 19:00 - 22.06.2018 20:00,48,0
22.06.2018 20:00 - 22.06.2018 21:00,37,0
22.06.2018 21:00 - 22.06.2018 22:00,91,0
22.06.2018 22:00 - 22.06.2018 23:00,84,0
22.06.2018 23:00 - 23.06.2018 00:00,133,0
23.06.2018 00:00 - 23.06.2018 01:00,50,0
23.06.2018 01:00 - 23.06.2018 02:00,2,0
23.06.2018 02:00 - 23.06.2018 03:00,0,1
23.06.2018 03:00 - 23.06.2018 04:00,44,0
23.06.2018 04:00 - 23.06.2018 05:00,39,0
23.06.2018 05:00 - 23.06.2018 06:00,28,0
23.06.2018 06:00 - 23.06.2018 07:00,22,0
23.06.2018 07:00 - 23.06.2018 08:00,157,0
23.06.2018 08:00 - 23.06.2018 09:00,209,0
23.06.2018 09:00 - 23.06.2018 10:00,238,0
23.06.2018 10:00 - 23.06.2018 11:00,134,0
23.06.2018 11:00 - 23.06.2018 12:00,150,0
23.06.2018 12:00 - 23.06.2018 13:00,140,0
23.06.2018 13:00 - 23.06.2018 14:00,143,0
23.06.2018 14:00 - 23.06.2018 15:00,138,0
23.06.2018 15:00 - 23.06.2018 16:00,80,0
23.06.2018 16:00 - 23.06.2018 17:00,91,0
23.06.2018 17:00 - 23.06.2018 18:00,35,0
23.06.2018 18:00 - 23.06.2018 19:00,16,0
23.06.2018 19:00 - 23.06.2018 20:00,17,0
23.06.2018 20:00 - 23.06.2018 21:00,38,0
23.06.2018 21:00 - 23.06.2018 22:00,40,0
23.06.2018 22:00 - 23.06.2018 23:00,98,0
23.06.2018 23:00 - 24.06.2018 00:00,0,102
24.06.2018 00:00 - 24.06.2018 01:00,0,18
24.06.2018 01:00 - 24.06.2018 02:00,0,19
24.06.2018 02:00 - 24.06.2018 03:00,0,44
24.06.2018 03:00 - 24.06.2018 04:00,0,76
24.06.2018 04:00 - 24.06.2018 05:00,0,44
24.06.2018 05:00 - 24.06.2018 06:00,0,35
24.06.2018 06:00 - 24.06.2018 07:00,0,123
24.06.2018 07:00 - 24.06.2018 08:00,0,64
24.06.2018 08:00 - 24.06.2018 09:00,0,53
24.06.2018 09:00 - 24.06.2018 10:00,30,0
24.06.2018 10:00 - 24.06.2018 11:00,117,0
24.06.2018 11:00 - 24.06.2018 12:00,129,0
24.06.2018 12:00 - 24.06.2018 13:00,114,0
24.06.2018 13:00 - 24.06.2018 14:00,72,0
24.06.2018 14:00 - 24.06.2018 15:00,106,0
24.06.2018 15:00 - 24.06.2018 16:00,27,0
24.06.2018 16:00 - 24.06.2018 17:00,49,0
24.06.2018 17:00 - 24.06.2018 18:00,34,0
24.06.2018 18:00 - 24.06.2018 19:00,120,0
24.06.2018 19:00 - 24.06.2018 20:00,138,0
24.06.2018 20:00 - 24.06.2018 21:00,188,0
24.06.2018 21:00 - 24.06.2018 22:00,152,0
24.06.2018 22:00 - 24.06.2018 23:00,245,0
24.06.2018 23:00 - 25.06.2018 00:00,19,0
25.06.2018 00:00 - 25.06.2018 01:00,13,0
25.06.2018 01:00 - 25.06.2018 02:00,0,6
25.06.2018 02:00 - 25.06.2018 03:00,5,0
25.06.2018 03:00 - 25.06.2018 04:00,0,11
25.06.2018 04:00 - 25.06.2018 05:00,0,78
25.06.2018 05:00 - 25.06.2018 06:00,38,0
25.06.2018 06:00 - 25.06.2018 07:00,31,0
25.06.2018 07:00 - 25.06.2018 08:00,0,16
25.06.2018 08:00 - 25.06.2018 09:00,0,26
25.06.2018 09:00 - 25.06.2018 10:00,0,0
25.06.2018 10:00 - 25.06.2018 11:00,5,0
25.06.2018 11:00 - 25.06.2018 12:00,0,34
25.06.2018 12:00 - 25.06.2018 13:00,4,0
25.06.2018 13:00 - 25.06.2018 14:00,89,0
25.06.2018 14:00 - 25.06.2018 15:00,175,0
25.06.2018 15:00 - 25.06.2018 16:00,102,0
25.06.2018 16:00 - 25.06.2018 17:00,124,0
25.06.2018 17:00 - 25.06.2018 18:00,0,62
25.06.2018 18:00 - 25.06.2018 19:00,0,14
25.06.2018 19:00 - 25.06.2018 20:00,155,0
25.06.2018 20:00 - 25.06.2018 21:00,196,0
25.06.2018 21:00 - 25.06.2018 22:00,270,0
25.06.2018 22:00 - 25.06.2018 23:00,165,0
25.06.2018 23:00 - 26.06.2018 00:00,114,0
26.06.2018 00:00 - 26.06.2018 01:00,137,0
26.06.2018 01:00 - 26.06.2018 02:00,173,0
26.06.2018 02:00 - 26.06.2018 03:00,158,0
26.06.2018 03:00 - 26.06.2018 04:00,77,0
26.06.2018 04:00 - 26.06.2018 05:00,0,61
26.06.2018 05:00 - 26.06.2018 06:00,40,0
26.06.2018 06:00 - 26.06.2018 07:00,0,28
26.06.2018 07:00 - 26.06.2018 08:00,0,95
26.06.2018 08:00 - 26.06.2018 09:00,0,50
26.06.2018 09:00 - 26.06.2018 10:00,0,70
26.06.2018 10:00 - 26.06.2018 11:00,0,41
26.06.2018 11:00 - 26.06.2018 12:00,0,62
26.06.2018 12:00 - 26.06.2018 13:00,0,42
26.06.2018 13:00 - 26.06.2018 14:00,0,156
26.06.2018 14:00 - 26.06.2018 15:00,0,15
26.06.2018 15:00 - 26.06.2018 16:00,32,0
26.06.2018 16:00 - 26.06.2018 17:00,0,91
26.06.2018 17:00 - 26.06.2018 18:00,0,115
26.06.2018 18:00 - 26.06.2018 19:00,0,63
26.06.2018 19:00 - 26.06.2018 20:00,0,78
26.06.2018 20:00 - 26.06.2018 21:00,121,0
26.06.2018 21:00 - 26.06.2018 22:00,186,0
26.06.2018 22:00 - 26.06.2018 23:00,285,0
26.06.2018 23:00 - 27.06.2018 00:00,119,0
27.06.2018 00:00 - 27.06.2018 01:00,283,0
27.06.2018 01:00 - 27.06.2018 02:00,222,0
27.06.2018 02:00 - 27.06.2018 03:00,208,0
27.06.2018 03:00 - 27.06.2018 04:00,115,0
27.06.2018 04:00 - 27.06.2018 05:00,0,40
27.06.2018 05:00 - 27.06.2018 06:00,79,0
27.06.2018 06:00 - 27.06.2018 07:00,52,0
27.06.2018 07:00 - 27.06.2018 08:00,4,0
27.06.2018 08:00 - 27.06.2018 09:00,35,0
27.06.2018 09:00 - 27.06.2018 10:00,64,0
27.06.2018 10:00 - 27.06.2018 11:00,37,0
27.06.2018 11:00 - 27.06.2018 12:00,0,34
27.06.2018 12:00 - 27.06.2018 13:00,34,0
27.06.2018 13:00 - 27.06.2018 14:00,112,0
27.06.2018 14:00 - 27.06.2018 15:00,92,0
27.06.2018 15:00 - 27.06.2018 16:00,56,0
27.06.2018 16:00 - 27.06.2018 17:00,0,12
27.06.2018 17:00 - 27.06.2018 18:00,62,0
27.06.2018 18:00 - 27.06.2018 19:00,60,0
27.06.2018 19:00 - 27.06.2018 20:00,0,57
27.06.2018 20:00 - 27.06.2018 21:00,19,0
27.06.2018 21:00 - 27.06.2018 22:00,89,0
27.06.2018 22:00 - 27.06.2018 23:00,234,0
27.06.2018 23:00 - 28.06.2018 00:00,69,0
28.06.2018 00:00 - 28.06.2018 01:00,21,0
28.06.2018 01:00 - 28.06.2018 02:00,0,12
28.06.2018 02:00 - 28.06.2018 03:00,0,73
28.06.2018 03:00 - 28.06.2018 04:00,0,85
28.06.2018 04:00 - 28.06.2018 05:00,0,116
28.06.2018 05:00 - 28.06.2018 06:00,0,46
28.06.2018 06:00 - 28.06.2018 07:00,0,115
28.06.2018 07:00 - 28.06.2018 08:00,0,95
28.06.2018 08:00 - 28.06.2018 09:00,0,71
28.06.2018 09:00 - 28.06.2018 10:00,0,91
28.06.2018 10:00 - 28.06.2018 11:00,0,126
28.06.2018 11:00 - 28.06.2018 12:00,0,119
28.06.2018 12:00 - 28.06.2018 13:00,0,138
28.06.2018 13:00 - 28.06.2018 14:00,0,162
28.06.2018 14:00 - 28.06.2018 15:00,6,0
28.06.2018 15:00 - 28.06.2018 16:00,7,0
28.06.2018 16:00 - 28.06.2018 17:00,0,20
28.06.2018 17:00 - 28.06.2018 18:00,53,0
28.06.2018 18:00 - 28.06.2018 19:00,45,0
28.06.2018 19:00 - 28.06.2018 20:00,15,0
28.06.2018 20:00 - 28.06.2018 21:00,115,0
28.06.2018 21:00 - 28.06.2018 22:00,171,0
28.06.2018 22:00 - 28.06.2018 23:00,147,0
28.06.2018 23:00 - 29.06.2018 00:00,0,34
29.06.2018 00:00 - 29.06.2018 01:00,0,37
29.06.2018 01:00 - 29.06.2018 02:00,68,0
29.06.2018 02:00 - 29.06.2018 03:00,77,0
29.06.2018 03:00 - 29.06.2018 04:00,121,0
29.06.2018 04:00 - 29.06.2018 05:00,0,70
29.06.2018 05:00 - 29.06.2018 06:00,68,0
29.06.2018 06:00 - 29.06.2018 07:00,64,0
29.06.2018 07:00 - 29.06.2018 08:00,0,0
29.06.2018 08:00 - 29.06.2018 09:00,0,14
29.06.2018 09:00 - 29.06.2018 10:00,24,0
29.06.2018 10:00 - 29.06.2018 11:00,7,0
29.06.2018 11:00 - 29.06.2018 12:00,0,80
29.06.2018 12:00 - 29.06.2018 13:00,0,55
29.06.2018 13:00 - 29.06.2018 14:00,17,0
29.06.2018 14:00 - 29.06.2018 15:00,28,0
29.06.2018 15:00 - 29.06.2018 16:00,93,0
29.06.2018 16:00 - 29.06.2018 17:00,99,0
29.06.2018 17:00 - 29.06.2018 18:00,0,1
29.06.2018 18:00 - 29.06.2018 19:00,11,0
29.06.2018 19:00 - 29.06.2018 20:00,17,0
29.06.2018 20:00 - 29.06.2018 21:00,30,0
29.06.2018 21:00 - 29.06.2018 22:00,89,0
29.06.2018 22:00 - 29.06.2018 23:00,133,0
29.06.2018 23:00 - 30.06.2018 00:00,80,0
30.06.2018 00:00 - 30.06.2018 01:00,0,54
30.06.2018 01:00 - 30.06.2018 02:00,0,63
30.06.2018 02:00 - 30.06.2018 03:00,0,27
30.06.2018 03:00 - 30.06.2018 04:00,0,27
30.06.2018 04:00 - 30.06.2018 05:00,0,46
30.06.2018 05:00 - 30.06.2018 06:00,0,41
30.06.2018 06:00 - 30.06.2018 07:00,0,57
30.06.2018 07:00 - 30.06.2018 08:00,0,11
30.06.2018 08:00 - 30.06.2018 09:00,46,0
30.06.2018 09:00 - 30.06.2018 10:00,41,0
30.06.2018 10:00 - 30.06.2018 11:00,72,0
30.06.2018 11:00 - 30.06.2018 12:00,73,0
30.06.2018 12:00 - 30.06.2018 13:00,70,0
30.06.2018 13:00 - 30.06.2018 14:00,0,19
30.06.2018 14:00 - 30.06.2018 15:00,0,20
30.06.2018 15:00 - 30.06.2018 16:00,0,7
30.06.2018 16:00 - 30.06.2018 17:00,0,16
30.06.2018 17:00 - 30.06.2018 18:00,0,19
30.06.2018 18:00 - 30.06.2018 19:00,22,0
30.06.2018 19:00 - 30.06.2018 20:00,0,55
30.06.2018 20:00 - 30.06.2018 21:00,56,0
30.06.2018 21:00 - 30.06.2018 22:00,64,0
30.06.2018 22:00 - 30.06.2018 23:00,54,0
30.06.2018 23:00 - 01.07.2018 00:00,88,0
01.07.2018 00:00 - 01.07.2018 01:00,18,0
01.07.2018 01:00 - 01.07.2018 02:00,67,0
01.07.2018 02:00 - 01.07.2018 03:00,152,0
01.07.2018 03:00 - 01.07.2018 04:00,149,0
01.07.2018 04:00 - 01.07.2018 05:00,96,0
01.07.2018 05:00 - 01.07.2018 06:00,93,0
01.07.2018 06:00 - 01.07.2018 07:00,0,11
01.07.2018 07:00 - 01.07.2018 08:00,0,37
01.07.2018 08:00 - 01.07.2018 09:00,0,91
01.07.2018 09:00 - 01.07.2018 10:00,0,73
01.07.2018 10:00 - 01.07.2018 11:00,0,55
01.07.2018 11:00 - 01.07.2018 12:00,0,70
01.07.2018 12:00 - 01.07.2018 13:00,0,65
01.07.2018 13:00 - 01.07.2018 14:00,0,61
01.07.2018 14:00 - 01.07.2018 15:00,0,88
01.07.2018 15:00 - 01.07.2018 16:00,0,79
01.07.2018 16:00 - 01.07.2018 17:00,0,10
01.07.2018 17:00 - 01.07.2018 18:00,0,23
01.07.2018 18:00 - 01.07.2018 19:00,0,35
01.07.2018 19:00 - 01.07.2018 20:00,0,50
01.07.2018 20:00 - 01.07.2018 21:00,117,0
01.07.2018 21:00 - 01.07.2018 22:00,137,0
01.07.2018 22:00 - 01.07.2018 23:00,42,0
01.07.2018 23:00 - 02.07.2018 00:00,127,0
02.07.2018 00:00 - 02.07.2018 01:00,59,0
02.07.2018 01:00 - 02.07.2018 02:00,0,102
02.07.2018 02:00 - 02.07.2018 03:00,0,71
02.07.2018 03:00 - 02.07.2018 04:00,0,119
02.07.2018 04:00 - 02.07.2018 05:00,127,0
02.07.2018 05:00 - 02.07.2018 06:00,120,0
02.07.2018 06:00 - 02.07.2018 07:00,0,49
02.07.2018 07:00 - 02.07.2018 08:00,0,29
02.07.2018 08:00 - 02.07.2018 09:00,0,39
02.07.2018 09:00 - 02.07.2018 10:00,0,46
02.07.2018 10:00 - 02.07.2018 11:00,0,12
02.07.2018 11:00 - 02.07.2018 12:00,92,0
02.07.2018 12:00 - 02.07.2018 13:00,113,0
02.07.2018 13:00 - 02.07.2018 14:00,23,0
02.07.2018 14:00 - 02.07.2018 15:00,120,0
02.07.2018 15:00 - 02.07.2018 16:00,116,0
02.07.2018 16:00 - 02.07.2018 17:00,80,0
02.07.2018 17:00 - 02.07.2018 18:00,79,0
02.07.2018 18:00 - 02.07.2018 19:00,194,0
02.07.2018 19:00 - 02.07.2018 20:00,94,0
02.07.2018 20:00 - 02.07.2018 21:00,151,0
02.07.2018 21:00 - 02.07.2018 22:00,121,0
02.07.2018 22:00 - 02.07.2018 23:00,187,0
02.07.2018 23:00 - 03.07.2018 00:00,117,0
03.07.2018 00:00 - 03.07.2018 01:00,204,0
03.07.2018 01:00 - 03.07.2018 02:00,273,0
03.07.2018 02:00 - 03.07.2018 03:00,240,0
03.07.2018 03:00 - 03.07.2018 04:00,173,0
03.07.2018 04:00 - 03.07.2018 05:00,258,0
03.07.2018 05:00 - 03.07.2018 06:00,173,0
03.07.2018 06:00 - 03.07.2018 07:00,265,0
03.07.2018 07:00 - 03.07.2018 08:00,291,0
03.07.2018 08:00 - 03.07.2018 09:00,147,0
03.07.2018 09:00 - 03.07.2018 10:00,125,0
03.07.2018 10:00 - 03.07.2018 11:00,158,0
03.07.2018 11:00 - 03.07.2018 12:00,175,0
03.07.2018 12:00 - 03.07.2018 13:00,82,0
03.07.2018 13:00 - 03.07.2018 14:00,90,0
03.07.2018 14:00 - 03.07.2018 15:00,94,0
03.07.2018 15:00 - 03.07.2018 16:00,182,0
03.07.2018 16:00 - 03.07.2018 17:00,147,0
03.07.2018 17:00 - 03.07.2018 18:00,159,0
03.07.2018 18:00 - 03.07.2018 19:00,198,0
03.07.2018 19:00 - 03.07.2018 20:00,73,0
03.07.2018 20:00 - 03.07.2018 21:00,144,0
03.07.2018 21:00 - 03.07.2018 22:00,278,0
03.07.2018 22:00 - 03.07.2018 23:00,398,0
03.07.2018 23:00 - 04.07.2018 00:00,131,0
04.07.2018 00:00 - 04.07.2018 01:00,232,0
04.07.2018 01:00 - 04.07.2018 02:00,162,0
04.07.2018 02:00 - 04.07.2018 03:00,183,0
04.07.2018 03:00 - 04.07.2018 04:00,252,0
04.07.2018 04:00 - 04.07.2018 05:00,174,0
04.07.2018 05:00 - 04.07.2018 06:00,93,0
04.07.2018 06:00 - 04.07.2018 07:00,121,0
04.07.2018 07:00 - 04.07.2018 08:00,89,0
04.07.2018 08:00 - 04.07.2018 09:00,106,0
04.07.2018 09:00 - 04.07.2018 10:00,56,0
04.07.2018 10:00 - 04.07.2018 11:00,158,0
04.07.2018 11:00 - 04.07.2018 12:00,63,0
04.07.2018 12:00 - 04.07.2018 13:00,63,0
04.07.2018 13:00 - 04.07.2018 14:00,110,0
04.07.2018 14:00 - 04.07.2018 15:00,70,0
04.07.2018 15:00 - 04.07.2018 16:00,139,0
04.07.2018 16:00 - 04.07.2018 17:00,114,0
04.07.2018 17:00 - 04.07.2018 18:00,151,0
04.07.2018 18:00 - 04.07.2018 19:00,97,0
04.07.2018 19:00 - 04.07.2018 20:00,102,0
04.07.2018 20:00 - 04.07.2018 21:00,115,0
04.07.2018 21:00 - 04.07.2018 22:00,83,0
04.07.2018 22:00 - 04.07.2018 23:00,384,0
04.07.2018 23:00 - 05.07.2018 00:00,229,0
05.07.2018 00:00 - 05.07.2018 01:00,179,0
05.07.2018 01:00 - 05.07.2018 02:00,133,0
05.07.2018 02:00 - 05.07.2018 03:00,115,0
05.07.2018 03:00 - 05.07.2018 04:00,151,0
05.07.2018 04:00 - 05.07.2018 05:00,86,0
05.07.2018 05:00 - 05.07.2018 06:00,0,5
05.07.2018 06:00 - 05.07.2018 07:00,15,0
05.07.2018 07:00 - 05.07.2018 08:00,0,35
05.07.2018 08:00 - 05.07.2018 09:00,0,38
05.07.2018 09:00 - 05.07.2018 10:00,0,42
05.07.2018 10:00 - 05.07.2018 11:00,0,7
05.07.2018 11:00 - 05.07.2018 12:00,8,0
05.07.2018 12:00 - 05.07.2018 13:00,49,0
05.07.2018 13:00 - 05.07.2018 14:00,0,1
05.07.2018 14:00 - 05.07.2018 15:00,3,0
05.07.2018 15:00 - 05.07.2018 16:00,35,0
05.07.2018 16:00 - 05.07.2018 17:00,61,0
05.07.2018 17:00 - 05.07.2018 18:00,72,0
05.07.2018 18:00 - 05.07.2018 19:00,62,0
05.07.2018 19:00 - 05.07.2018 20:00,0,30
05.07.2018 20:00 - 05.07.2018 21:00,0,81
05.07.2018 21:00 - 05.07.2018 22:00,125,0
05.07.2018 22:00 - 05.07.2018 23:00,233,0
05.07.2018 23:00 - 06.07.2018 00:00,137,0
06.07.2018 00:00 - 06.07.2018 01:00,84,0
06.07.2018 01:00 - 06.07.2018 02:00,52,0
06.07.2018 02:00 - 06.07.2018 03:00,114,0
06.07.2018 03:00 - 06.07.2018 04:00,87,0
06.07.2018 04:00 - 06.07.2018 05:00,91,0
06.07.2018 05:00 - 06.07.2018 06:00,40,0
06.07.2018 06:00 - 06.07.2018 07:00,0,77
06.07.2018 07:00 - 06.07.2018 08:00,0,128
06.07.2018 08:00 - 06.07.2018 09:00,0,169
06.07.2018 09:00 - 06.07.2018 10:00,0,185
06.07.2018 10:00 - 06.07.2018 11:00,0,167
06.07.2018 11:00 - 06.07.2018 12:00,0,24
06.07.2018 12:00 - 06.07.2018 13:00,2,0
06.07.2018 13:00 - 06.07.2018 14:00,0,98
06.07.2018 14:00 - 06.07.2018 15:00,0,46
06.07.2018 15:00 - 06.07.2018 16:00,37,0
06.07.2018 16:00 - 06.07.2018 17:00,21,0
06.07.2018 17:00 - 06.07.2018 18:00,0,44
06.07.2018 18:00 - 06.07.2018 19:00,0,88
06.07.2018 19:00 - 06.07.2018 20:00,0,114
06.07.2018 20:00 - 06.07.2018 21:00,0,127
06.07.2018 21:00 - 06.07.2018 22:00,0,68
06.07.2018 22:00 - 06.07.2018 23:00,0,20
06.07.2018 23:00 - 07.07.2018 00:00,0,12
07.07.2018 00:00 - 07.07.2018 01:00,0,60
07.07.2018 01:00 - 07.07.2018 02:00,0,79
07.07.2018 02:00 - 07.07.2018 03:00,0,16
07.07.2018 03:00 - 07.07.2018 04:00,0,74
07.07.2018 04:00 - 07.07.2018 05:00,0,163
07.07.2018 05:00 - 07.07.2018 06:00,15,0
07.07.2018 06:00 - 07.07.2018 07:00,0,57
07.07.2018 07:00 - 07.07.2018 08:00,0,52
07.07.2018 08:00 - 07.07.2018 09:00,53,0
07.07.2018 09:00 - 07.07.2018 10:00,0,13
07.07.2018 10:00 - 07.07.2018 11:00,0,30
07.07.2018 11:00 - 07.07.2018 12:00,0,76
07.07.2018 12:00 - 07.07.2018 13:00,0,57
07.07.2018 13:00 - 07.07.2018 14:00,0,62
07.07.2018 14:00 - 07.07.2018 15:00,0,65
07.07.2018 15:00 - 07.07.2018 16:00,0,77
07.07.2018 16:00 - 07.07.2018 17:00,0,53
07.07.2018 17:00 - 07.07.2018 18:00,0,49
07.07.2018 18:00 - 07.07.2018 19:00,0,67
07.07.2018 19:00 - 07.07.2018 20:00,0,95
07.07.2018 20:00 - 07.07.2018 21:00,0,51
07.07.2018 21:00 - 07.07.2018 22:00,34,0
07.07.2018 22:00 - 07.07.2018 23:00,0,1
07.07.2018 23:00 - 08.07.2018 00:00,0,34
08.07.2018 00:00 - 08.07.2018 01:00,0,109
08.07.2018 01:00 - 08.07.2018 02:00,0,145
08.07.2018 02:00 - 08.07.2018 03:00,0,131
08.07.2018 03:00 - 08.07.2018 04:00,0,87
08.07.2018 04:00 - 08.07.2018 05:00,0,0
08.07.2018 05:00 - 08.07.2018 06:00,75,0
08.07.2018 06:00 - 08.07.2018 07:00,0,33
08.07.2018 07:00 - 08.07.2018 08:00,0,67
08.07.2018 08:00 - 08.07.2018 09:00,0,60
08.07.2018 09:00 - 08.07.2018 10:00,0,57
08.07.2018 10:00 - 08.07.2018 11:00,0,46
08.07.2018 11:00 - 08.07.2018 12:00,0,68
08.07.2018 12:00 - 08.07.2018 13:00,0,61
08.07.2018 13:00 - 08.07.2018 14:00,0,36
08.07.2018 14:00 - 08.07.2018 15:00,0,41
08.07.2018 15:00 - 08.07.2018 16:00,0,47
08.07.2018 16:00 - 08.07.2018 17:00,0,69
08.07.2018 17:00 - 08.07.2018 18:00,0,32
08.07.2018 18:00 - 08.07.2018 19:00,0,59
08.07.2018 19:00 - 08.07.2018 20:00,0,109
08.07.2018 20:00 - 08.07.2018 21:00,0,55
08.07.2018 21:00 - 08.07.2018 22:00,0,13
08.07.2018 22:00 - 08.07.2018 23:00,18,0
08.07.2018 23:00 - 09.07.2018 00:00,145,0
09.07.2018 00:00 - 09.07.2018 01:00,160,0
09.07.2018 01:00 - 09.07.2018 02:00,105,0
09.07.2018 02:00 - 09.07.2018 03:00,74,0
09.07.2018 03:00 - 09.07.2018 04:00,0,38
09.07.2018 04:00 - 09.07.2018 05:00,23,0
09.07.2018 05:00 - 09.07.2018 06:00,35,0
09.07.2018 06:00 - 09.07.2018 07:00,0,86
09.07.2018 07:00 - 09.07.2018 08:00,0,71
09.07.2018 08:00 - 09.07.2018 09:00,0,30
09.07.2018 09:00 - 09.07.2018 10:00,0,64
09.07.2018 10:00 - 09.07.2018 11:00,0,35
09.07.2018 11:00 - 09.07.2018 12:00,0,93
09.07.2018 12:00 - 09.07.2018 13:00,0,4
09.07.2018 13:00 - 09.07.2018 14:00,9,0
09.07.2018 14:00 - 09.07.2018 15:00,0,70
09.07.2018 15:00 - 09.07.2018 16:00,0,26
09.07.2018 16:00 - 09.07.2018 17:00,0,2
09.07.2018 17:00 - 09.07.2018 18:00,0,44
09.07.2018 18:00 - 09.07.2018 19:00,0,6
09.07.2018 19:00 - 09.07.2018 20:00,0,30
09.07.2018 20:00 - 09.07.2018 21:00,60,0
09.07.2018 21:00 - 09.07.2018 22:00,66,0
09.07.2018 22:00 - 09.07.2018 23:00,138,0
09.07.2018 23:00 - 10.07.2018 00:00,0,14
10.07.2018 00:00 - 10.07.2018 01:00,0,41
10.07.2018 01:00 - 10.07.2018 02:00,0,13
10.07.2018 02:00 - 10.07.2018 03:00,11,0
10.07.2018 03:00 - 10.07.2018 04:00,0,38
10.07.2018 04:00 - 10.07.2018 05:00,0,4
10.07.2018 05:00 - 10.07.2018 06:00,0,0
10.07.2018 06:00 - 10.07.2018 07:00,10,0
10.07.2018 07:00 - 10.07.2018 08:00,8,0
10.07.2018 08:00 - 10.07.2018 09:00,117,0
