Time (WET),Albania (AL) > Greece (GR) [MW],Greece (GR) > Albania (AL) [MW]
30.06.2018 12:00 - 30.06.2018 13:00,13,0
30.06.2018 13:00 - 30.06.2018 14:00,22,0
30.06.2018 14:00 - 30.06.2018 15:00,0,5
30.06.2018 15:00 - 30.06.2018 16:00,0,18
30.06.2018 16:00 - 30.06.2018 17:00,16,0
30.06.2018 17:00 - 30.06.2018 18:00,0,4
30.06.2018 18:00 - 30.06.2018 19:00,6,0
30.06.2018 19:00 - 30.06.2018 20:00,0,16
30.06.2018 20:00 - 30.06.2018 21:00,0,17
30.06.2018 21:00 - 30.06.2018 22:00,0,6
30.06.2018 22:00 - 30.06.2018 23:00,0,35
30.06.2018 23:00 - 01.07.2018 00:00,10,0
01.07.2018 00:00 - 01.07.2018 01:00,0,2
01.07.2018 01:00 - 01.07.2018 02:00,0,5
01.07.2018 02:00 - 01.07.2018 03:00,0,7
01.07.2018 03:00 - 01.07.2018 04:00,0,11
01.07.2018 04:00 - 01.07.2018 05:00,23,0
01.07.2018 05:00 - 01.07.2018 06:00,34,0
01.07.2018 06:00 - 01.07.2018 07:00,77,0
01.07.2018 07:00 - 01.07.2018 08:00,67,0
01.07.2018 08:00 - 01.07.2018 09:00,74,0
01.07.2018 09:00 - 01.07.2018 10:00,89,0
01.07.2018 10:00 - 01.07.2018 11:00,52,0
01.07.2018 11:00 - 01.07.2018 12:00,103,0
01.07.2018 12:00 - 01.07.2018 13:00,124,0
01.07.2018 13:00 - 01.07.2018 14:00,102,0
01.07.2018 14:00 - 01.07.2018 15:00,101,0
01.07.2018 15:00 - 01.07.2018 16:00,91,0
01.07.2018 16:00 - 01.07.2018 17:00,96,0
01.07.2018 17:00 - 01.07.2018 18:00,72,0
01.07.2018 18:00 - 01.07.2018 19:00,49,0
01.07.2018 19:00 - 01.07.2018 20:00,29,0
01.07.2018 20:00 - 01.07.2018 21:00,15,0
01.07.2018 21:00 - 01.07.2018 22:00,42,0
01.07.2018 22:00 - 01.07.2018 23:00,0,13
01.07.2018 23:00 - 02.07.2018 00:00,0,83
02.07.2018 00:00 - 02.07.2018 01:00,0,65
02.07.2018 01:00 - 02.07.2018 02:00,0,51
02.07.2018 02:00 - 02.07.2018 03:00,0,48
02.07.2018 03:00 - 02.07.2018 04:00,0,54
02.07.2018 04:00 - 02.07.2018 05:00,0,66
02.07.2018 05:00 - 02.07.2018 06:00,0,19
02.07.2018 06:00 - 02.07.2018 07:00,2,0
02.07.2018 07:00 - 02.07.2018 08:00,22,0
02.07.2018 08:00 - 02.07.2018 09:00,43,0
02.07.2018 09:00 - 02.07.2018 10:00,82,0
02.07.2018 10:00 - 02.07.2018 11:00,60,0
02.07.2018 11:00 - 02.07.2018 12:00,48,0
02.07.2018 12:00 - 02.07.2018 13:00,50,0
02.07.2018 13:00 - 02.07.2018 14:00,60,0
02.07.2018 14:00 - 02.07.2018 15:00,67,0
02.07.2018 15:00 - 02.07.2018 16:00,79,0
02.07.2018 16:00 - 02.07.2018 17:00,79,0
02.07.2018 17:00 - 02.07.2018 18:00,94,0
02.07.2018 18:00 - 02.07.2018 19:00,114,0
02.07.2018 19:00 - 02.07.2018 20:00,141,0
02.07.2018 20:00 - 02.07.2018 21:00,113,0
02.07.2018 21:00 - 02.07.2018 22:00,6,0
02.07.2018 22:00 - 02.07.2018 23:00,0,35
02.07.2018 23:00 - 03.07.2018 00:00,0,49
03.07.2018 00:00 - 03.07.2018 01:00,0,22
03.07.2018 01:00 - 03.07.2018 02:00,0,24
03.07.2018 02:00 - 03.07.2018 03:00,0,18
03.07.2018 03:00 - 03.07.2018 04:00,0,24
03.07.2018 04:00 - 03.07.2018 05:00,0,27
03.07.2018 05:00 - 03.07.2018 06:00,14,0
03.07.2018 06:00 - 03.07.2018 07:00,102,0
03.07.2018 07:00 - 03.07.2018 08:00,90,0
03.07.2018 08:00 - 03.07.2018 09:00,90,0
03.07.2018 09:00 - 03.07.2018 10:00,99,0
03.07.2018 10:00 - 03.07.2018 11:00,74,0
03.07.2018 11:00 - 03.07.2018 12:00,79,0
03.07.2018 12:00 - 03.07.2018 13:00,76,0
03.07.2018 13:00 - 03.07.2018 14:00,67,0
03.07.2018 14:00 - 03.07.2018 15:00,80,0
03.07.2018 15:00 - 03.07.2018 16:00,84,0
03.07.2018 16:00 - 03.07.2018 17:00,66,0
03.07.2018 17:00 - 03.07.2018 18:00,96,0
03.07.2018 18:00 - 03.07.2018 19:00,118,0
03.07.2018 19:00 - 03.07.2018 20:00,125,0
03.07.2018 20:00 - 03.07.2018 21:00,109,0
03.07.2018 21:00 - 03.07.2018 22:00,4,0
03.07.2018 22:00 - 03.07.2018 23:00,0,51
03.07.2018 23:00 - 04.07.2018 00:00,0,37
04.07.2018 00:00 - 04.07.2018 01:00,0,20
04.07.2018 01:00 - 04.07.2018 02:00,0,26
04.07.2018 02:00 - 04.07.2018 03:00,0,27
04.07.2018 03:00 - 04.07.2018 04:00,0,38
04.07.2018 04:00 - 04.07.2018 05:00,0,41
04.07.2018 05:00 - 04.07.2018 06:00,48,0
04.07.2018 06:00 - 04.07.2018 07:00,97,0
04.07.2018 07:00 - 04.07.2018 08:00,90,0
04.07.2018 08:00 - 04.07.2018 09:00,108,0
04.07.2018 09:00 - 04.07.2018 10:00,124,0
04.07.2018 10:00 - 04.07.2018 11:00,69,0
04.07.2018 11:00 - 04.07.2018 12:00,48,0
04.07.2018 12:00 - 04.07.2018 13:00,15,0
04.07.2018 13:00 - 04.07.2018 14:00,17,0
04.07.2018 14:00 - 04.07.2018 15:00,20,0
04.07.2018 15:00 - 04.07.2018 16:00,32,0
04.07.2018 16:00 - 04.07.2018 17:00,65,0
04.07.2018 17:00 - 04.07.2018 18:00,79,0
04.07.2018 18:00 - 04.07.2018 19:00,99,0
04.07.2018 19:00 - 04.07.2018 20:00,89,0
04.07.2018 20:00 - 04.07.2018 21:00,60,0
04.07.2018 21:00 - 04.07.2018 22:00,0,7
04.07.2018 22:00 - 04.07.2018 23:00,0,40
04.07.2018 23:00 - 05.07.2018 00:00,0,40
05.07.2018 00:00 - 05.07.2018 01:00,0,37
05.07.2018 01:00 - 05.07.2018 02:00,0,30
05.07.2018 02:00 - 05.07.2018 03:00,0,38
05.07.2018 03:00 - 05.07.2018 04:00,0,51
05.07.2018 04:00 - 05.07.2018 05:00,0,52
05.07.2018 05:00 - 05.07.2018 06:00,0,32
05.07.2018 06:00 - 05.07.2018 07:00,74,0
05.07.2018 07:00 - 05.07.2018 08:00,49,0
05.07.2018 08:00 - 05.07.2018 09:00,52,0
05.07.2018 09:00 - 05.07.2018 10:00,83,0
05.07.2018 10:00 - 05.07.2018 11:00,43,0
05.07.2018 11:00 - 05.07.2018 12:00,67,0
05.07.2018 12:00 - 05.07.2018 13:00,49,0
05.07.2018 13:00 - 05.07.2018 14:00,52,0
05.07.2018 14:00 - 05.07.2018 15:00,53,0
05.07.2018 15:00 - 05.07.2018 16:00,53,0
05.07.2018 16:00 - 05.07.2018 17:00,84,0
05.07.2018 17:00 - 05.07.2018 18:00,75,0
05.07.2018 18:00 - 05.07.2018 19:00,85,0
05.07.2018 19:00 - 05.07.2018 20:00,101,0
05.07.2018 20:00 - 05.07.2018 21:00,96,0
05.07.2018 21:00 - 05.07.2018 22:00,0,13
05.07.2018 22:00 - 05.07.2018 23:00,0,26
05.07.2018 23:00 - 06.07.2018 00:00,0,43
06.07.2018 00:00 - 06.07.2018 01:00,0,47
06.07.2018 01:00 - 06.07.2018 02:00,0,55
06.07.2018 02:00 - 06.07.2018 03:00,0,40
06.07.2018 03:00 - 06.07.2018 04:00,0,49
06.07.2018 04:00 - 06.07.2018 05:00,0,75
06.07.2018 05:00 - 06.07.2018 06:00,1,0
06.07.2018 06:00 - 06.07.2018 07:00,94,0
06.07.2018 07:00 - 06.07.2018 08:00,77,0
06.07.2018 08:00 - 06.07.2018 09:00,76,0
06.07.2018 09:00 - 06.07.2018 10:00,43,0
06.07.2018 10:00 - 06.07.2018 11:00,1,0
06.07.2018 11:00 - 06.07.2018 12:00,0,10
06.07.2018 12:00 - 06.07.2018 13:00,0,4
06.07.2018 13:00 - 06.07.2018 14:00,0,5
06.07.2018 14:00 - 06.07.2018 15:00,27,0
06.07.2018 15:00 - 06.07.2018 16:00,59,0
06.07.2018 16:00 - 06.07.2018 17:00,84,0
06.07.2018 17:00 - 06.07.2018 18:00,76,0
06.07.2018 18:00 - 06.07.2018 19:00,82,0
06.07.2018 19:00 - 06.07.2018 20:00,90,0
06.07.2018 20:00 - 06.07.2018 21:00,79,0
06.07.2018 21:00 - 06.07.2018 22:00,1,0
06.07.2018 22:00 - 06.07.2018 23:00,0,23
06.07.2018 23:00 - 07.07.2018 00:00,0,47
07.07.2018 00:00 - 07.07.2018 01:00,0,43
07.07.2018 01:00 - 07.07.2018 02:00,0,38
07.07.2018 02:00 - 07.07.2018 03:00,0,48
07.07.2018 03:00 - 07.07.2018 04:00,0,36
07.07.2018 04:00 - 07.07.2018 05:00,0,49
07.07.2018 05:00 - 07.07.2018 06:00,0,7
07.07.2018 06:00 - 07.07.2018 07:00,23,0
07.07.2018 07:00 - 07.07.2018 08:00,10,0
07.07.2018 08:00 - 07.07.2018 09:00,11,0
07.07.2018 09:00 - 07.07.2018 10:00,5,0
07.07.2018 10:00 - 07.07.2018 11:00,0,25
07.07.2018 11:00 - 07.07.2018 12:00,0,4
07.07.2018 12:00 - 07.07.2018 13:00,0,11
07.07.2018 13:00 - 07.07.2018 14:00,0,17
07.07.2018 14:00 - 07.07.2018 15:00,1,0
07.07.2018 15:00 - 07.07.2018 16:00,1,0
07.07.2018 16:00 - 07.07.2018 17:00,0,9
07.07.2018 17:00 - 07.07.2018 18:00,0,4
07.07.2018 18:00 - 07.07.2018 19:00,0,14
07.07.2018 19:00 - 07.07.2018 20:00,0,6
07.07.2018 20:00 - 07.07.2018 21:00,0,23
07.07.2018 21:00 - 07.07.2018 22:00,0,53
07.07.2018 22:00 - 07.07.2018 23:00,0,29
07.07.2018 23:00 - 08.07.2018 00:00,0,12
08.07.2018 00:00 - 08.07.2018 01:00,0,20
08.07.2018 01:00 - 08.07.2018 02:00,0,12
08.07.2018 02:00 - 08.07.2018 03:00,0,28
08.07.2018 03:00 - 08.07.2018 04:00,0,46
08.07.2018 04:00 - 08.07.2018 05:00,0,43
08.07.2018 05:00 - 08.07.2018 06:00,8,0
08.07.2018 06:00 - 08.07.2018 07:00,0,16
08.07.2018 07:00 - 08.07.2018 08:00,0,30
08.07.2018 08:00 - 08.07.2018 09:00,0,19
08.07.2018 09:00 - 08.07.2018 10:00,0,22
08.07.2018 10:00 - 08.07.2018 11:00,0,19
08.07.2018 11:00 - 08.07.2018 12:00,0,72
08.07.2018 12:00 - 08.07.2018 13:00,0,50
08.07.2018 13:00 - 08.07.2018 14:00,0,26
08.07.2018 14:00 - 08.07.2018 15:00,0,28
08.07.2018 15:00 - 08.07.2018 16:00,0,25
08.07.2018 16:00 - 08.07.2018 17:00,0,34
08.07.2018 17:00 - 08.07.2018 18:00,0,63
08.07.2018 18:00 - 08.07.2018 19:00,0,39
08.07.2018 19:00 - 08.07.2018 20:00,0,37
08.07.2018 20:00 - 08.07.2018 21:00,0,55
08.07.2018 21:00 - 08.07.2018 22:00,0,43
08.07.2018 22:00 - 08.07.2018 23:00,0,41
08.07.2018 23:00 - 09.07.2018 00:00,0,12
09.07.2018 00:00 - 09.07.2018 01:00,0,20
09.07.2018 01:00 - 09.07.2018 02:00,0,18
09.07.2018 02:00 - 09.07.2018 03:00,0,22
09.07.2018 03:00 - 09.07.2018 04:00,0,35
09.07.2018 04:00 - 09.07.2018 05:00,0,5
09.07.2018 05:00 - 09.07.2018 06:00,45,0
09.07.2018 06:00 - 09.07.2018 07:00,142,0
09.07.2018 07:00 - 09.07.2018 08:00,87,0
09.07.2018 08:00 - 09.07.2018 09:00,31,0
09.07.2018 09:00 - 09.07.2018 10:00,41,0
09.07.2018 10:00 - 09.07.2018 11:00,9,0
09.07.2018 11:00 - 09.07.2018 12:00,21,0
09.07.2018 12:00 - 09.07.2018 13:00,7,0
09.07.2018 13:00 - 09.07.2018 14:00,23,0
09.07.2018 14:00 - 09.07.2018 15:00,50,0
09.07.2018 15:00 - 09.07.2018 16:00,81,0
09.07.2018 16:00 - 09.07.2018 17:00,143,0
09.07.2018 17:00 - 09.07.2018 18:00,154,0
09.07.2018 18:00 - 09.07.2018 19:00,150,0
09.07.2018 19:00 - 09.07.2018 20:00,102,0
09.07.2018 20:00 - 09.07.2018 21:00,109,0
09.07.2018 21:00 - 09.07.2018 22:00,21,0
09.07.2018 22:00 - 09.07.2018 23:00,1,0
09.07.2018 23:00 - 10.07.2018 00:00,0,3
10.07.2018 00:00 - 10.07.2018 01:00,0,14
10.07.2018 01:00 - 10.07.2018 02:00,10,0
10.07.2018 02:00 - 10.07.2018 03:00,7,0
10.07.2018 03:00 - 10.07.2018 04:00,4,0
10.07.2018 04:00 - 10.07.2018 05:00,4,0
10.07.2018 05:00 - 10.07.2018 06:00,56,0
10.07.2018 06:00 - 10.07.2018 07:00,157,0
10.07.2018 07:00 - 10.07.2018 08:00,118,0
10.07.2018 08:00 - 10.07.2018 09:00,80,0
10.07.2018 09:00 - 10.07.2018 10:00,84,0
10.07.2018 10:00 - 10.07.2018 11:00,77,0
10.07.2018 11:00 - 10.07.2018 12:00,80,0
10.07.2018 12:00 - 10.07.2018 13:00,72,0
10.07.2018 13:00 - 10.07.2018 14:00,116,0
10.07.2018 14:00 - 10.07.2018 15:00,123,0
10.07.2018 15:00 - 10.07.2018 16:00,115,0
10.07.2018 16:00 - 10.07.2018 17:00,112,0
10.07.2018 17:00 - 10.07.2018 18:00,131,0
10.07.2018 18:00 - 10.07.2018 19:00,133,0
10.07.2018 19:00 - 10.07.2018 20:00,124,0
10.07.2018 20:00 - 10.07.2018 21:00,120,0
10.07.2018 21:00 - 10.07.2018 22:00,40,0
10.07.2018 22:00 - 10.07.2018 23:00,20,0
10.07.2018 23:00 - 11.07.2018 00:00,0,4
11.07.2018 00:00 - 11.07.2018 01:00,0,3
11.07.2018 01:00 - 11.07.2018 02:00,0,6
11.07.2018 02:00 - 11.07.2018 03:00,4,0
11.07.2018 03:00 - 11.07.2018 04:00,0,7
11.07.2018 04:00 - 11.07.2018 05:00,0,1
11.07.2018 05:00 - 11.07.2018 06:00,57,0
11.07.2018 06:00 - 11.07.2018 07:00,119,0
11.07.2018 07:00 - 11.07.2018 08:00,92,0
11.07.2018 08:00 - 11.07.2018 09:00,68,0
11.07.2018 09:00 - 11.07.2018 10:00,63,0
11.07.2018 10:00 - 11.07.2018 11:00,49,0
11.07.2018 11:00 - 11.07.2018 12:00,61,0
11.07.2018 12:00 - 11.07.2018 13:00,69,0
11.07.2018 13:00 - 11.07.2018 14:00,60,0
11.07.2018 14:00 - 11.07.2018 15:00,75,0
11.07.2018 15:00 - 11.07.2018 16:00,88,0
11.07.2018 16:00 - 11.07.2018 17:00,96,0
11.07.2018 17:00 - 11.07.2018 18:00,81,0
11.07.2018 18:00 - 11.07.2018 19:00,88,0
11.07.2018 19:00 - 11.07.2018 20:00,89,0
11.07.2018 20:00 - 11.07.2018 21:00,87,0
11.07.2018 21:00 - 11.07.2018 22:00,0,0
11.07.2018 22:00 - 11.07.2018 23:00,0,14
11.07.2018 23:00 - 12.07.2018 00:00,0,14
12.07.2018 00:00 - 12.07.2018 01:00,0,24
12.07.2018 01:00 - 12.07.2018 02:00,0,16
12.07.2018 02:00 - 12.07.2018 03:00,0,20
12.07.2018 03:00 - 12.07.2018 04:00,0,26
12.07.2018 04:00 - 12.07.2018 05:00,0,31
12.07.2018 05:00 - 12.07.2018 06:00,86,0
12.07.2018 06:00 - 12.07.2018 07:00,139,0
12.07.2018 07:00 - 12.07.2018 08:00,124,0
12.07.2018 08:00 - 12.07.2018 09:00,133,0
12.07.2018 09:00 - 12.07.2018 10:00,84,0
12.07.2018 10:00 - 12.07.2018 11:00,6,0
12.07.2018 11:00 - 12.07.2018 12:00,15,0
12.07.2018 12:00 - 12.07.2018 13:00,17,0
12.07.2018 13:00 - 12.07.2018 14:00,31,0
12.07.2018 14:00 - 12.07.2018 15:00,69,0
12.07.2018 15:00 - 12.07.2018 16:00,87,0
12.07.2018 16:00 - 12.07.2018 17:00,84,0
12.07.2018 17:00 - 12.07.2018 18:00,66,0
12.07.2018 18:00 - 12.07.2018 19:00,67,0
12.07.2018 19:00 - 12.07.2018 20:00,61,0
12.07.2018 20:00 - 12.07.2018 21:00,35,0
12.07.2018 21:00 - 12.07.2018 22:00,0,35
12.07.2018 22:00 - 12.07.2018 23:00,0,50
12.07.2018 23:00 - 13.07.2018 00:00,0,71
13.07.2018 00:00 - 13.07.2018 01:00,0,39
13.07.2018 01:00 - 13.07.2018 02:00,0,16
13.07.2018 02:00 - 13.07.2018 03:00,0,10
13.07.2018 03:00 - 13.07.2018 04:00,0,22
13.07.2018 04:00 - 13.07.2018 05:00,0,9
13.07.2018 05:00 - 13.07.2018 06:00,17,0
13.07.2018 06:00 - 13.07.2018 07:00,79,0
13.07.2018 07:00 - 13.07.2018 08:00,24,0
13.07.2018 08:00 - 13.07.2018 09:00,12,0
13.07.2018 09:00 - 13.07.2018 10:00,5,0
13.07.2018 10:00 - 13.07.2018 11:00,0,1
13.07.2018 11:00 - 13.07.2018 12:00,3,0
13.07.2018 12:00 - 13.07.2018 13:00,0,9
13.07.2018 13:00 - 13.07.2018 14:00,13,0
13.07.2018 14:00 - 13.07.2018 15:00,24,0
13.07.2018 15:00 - 13.07.2018 16:00,5,0
13.07.2018 16:00 - 13.07.2018 17:00,0,6
13.07.2018 17:00 - 13.07.2018 18:00,0,0
13.07.2018 18:00 - 13.07.2018 19:00,4,0
13.07.2018 19:00 - 13.07.2018 20:00,6,0
13.07.2018 20:00 - 13.07.2018 21:00,0,4
13.07.2018 21:00 - 13.07.2018 22:00,0,89
13.07.2018 22:00 - 13.07.2018 23:00,0,70
13.07.2018 23:00 - 14.07.2018 00:00,0,41
14.07.2018 00:00 - 14.07.2018 01:00,0,17
14.07.2018 01:00 - 14.07.2018 02:00,0,9
14.07.2018 02:00 - 14.07.2018 03:00,0,12
14.07.2018 03:00 - 14.07.2018 04:00,0,15
14.07.2018 04:00 - 14.07.2018 05:00,0,17
14.07.2018 05:00 - 14.07.2018 06:00,3,0
14.07.2018 06:00 - 14.07.2018 07:00,0,85
14.07.2018 07:00 - 14.07.2018 08:00,0,134
14.07.2018 08:00 - 14.07.2018 09:00,0,124
14.07.2018 09:00 - 14.07.2018 10:00,0,128
14.07.2018 10:00 - 14.07.2018 11:00,0,132
14.07.2018 11:00 - 14.07.2018 12:00,0,120
14.07.2018 12:00 - 14.07.2018 13:00,0,108
14.07.2018 13:00 - 14.07.2018 14:00,0,112
14.07.2018 14:00 - 14.07.2018 15:00,0,100
14.07.2018 15:00 - 14.07.2018 16:00,0,131
14.07.2018 16:00 - 14.07.2018 17:00,0,61
14.07.2018 17:00 - 14.07.2018 18:00,0,63
14.07.2018 18:00 - 14.07.2018 19:00,0,59
14.07.2018 19:00 - 14.07.2018 20:00,0,59
14.07.2018 20:00 - 14.07.2018 21:00,0,79
14.07.2018 21:00 - 14.07.2018 22:00,0,69
14.07.2018 22:00 - 14.07.2018 23:00,0,39
14.07.2018 23:00 - 15.07.2018 00:00,0,46
15.07.2018 00:00 - 15.07.2018 01:00,0,30
15.07.2018 01:00 - 15.07.2018 02:00,0,29
15.07.2018 02:00 - 15.07.2018 03:00,0,30
15.07.2018 03:00 - 15.07.2018 04:00,0,28
15.07.2018 04:00 - 15.07.2018 05:00,0,29
15.07.2018 05:00 - 15.07.2018 06:00,3,0
15.07.2018 06:00 - 15.07.2018 07:00,0,92
15.07.2018 07:00 - 15.07.2018 08:00,0,94
15.07.2018 08:00 - 15.07.2018 09:00,0,94
15.07.2018 09:00 - 15.07.2018 10:00,0,96
15.07.2018 10:00 - 15.07.2018 11:00,0,101
15.07.2018 11:00 - 15.07.2018 12:00,0,104
15.07.2018 12:00 - 15.07.2018 13:00,0,103
15.07.2018 13:00 - 15.07.2018 14:00,0,114
15.07.2018 14:00 - 15.07.2018 15:00,0,79
15.07.2018 15:00 - 15.07.2018 16:00,0,72
15.07.2018 16:00 - 15.07.2018 17:00,0,63
15.07.2018 17:00 - 15.07.2018 18:00,0,48
15.07.2018 18:00 - 15.07.2018 19:00,0,32
15.07.2018 19:00 - 15.07.2018 20:00,2,0
15.07.2018 20:00 - 15.07.2018 21:00,0,42
15.07.2018 21:00 - 15.07.2018 22:00,0,33
15.07.2018 22:00 - 15.07.2018 23:00,0,50
15.07.2018 23:00 - 16.07.2018 00:00,0,50
16.07.2018 00:00 - 16.07.2018 01:00,0,23
16.07.2018 01:00 - 16.07.2018 02:00,0,3
16.07.2018 02:00 - 16.07.2018 03:00,0,2
16.07.2018 03:00 - 16.07.2018 04:00,0,10
16.07.2018 04:00 - 16.07.2018 05:00,0,16
16.07.2018 05:00 - 16.07.2018 06:00,25,0
16.07.2018 06:00 - 16.07.2018 07:00,51,0
16.07.2018 07:00 - 16.07.2018 08:00,0,0
16.07.2018 08:00 - 16.07.2018 09:00,0,15
16.07.2018 09:00 - 16.07.2018 10:00,0,28
16.07.2018 10:00 - 16.07.2018 11:00,0,30
16.07.2018 11:00 - 16.07.2018 12:00,0,48
16.07.2018 12:00 - 16.07.2018 13:00,0,29
16.07.2018 13:00 - 16.07.2018 14:00,0,19
16.07.2018 14:00 - 16.07.2018 15:00,1,0
16.07.2018 15:00 - 16.07.2018 16:00,7,0
16.07.2018 16:00 - 16.07.2018 17:00,0,3
16.07.2018 17:00 - 16.07.2018 18:00,0,23
16.07.2018 18:00 - 16.07.2018 19:00,0,16
16.07.2018 19:00 - 16.07.2018 20:00,0,12
16.07.2018 20:00 - 16.07.2018 21:00,0,32
16.07.2018 21:00 - 16.07.2018 22:00,0,22
16.07.2018 22:00 - 16.07.2018 23:00,0,29
16.07.2018 23:00 - 17.07.2018 00:00,0,45
17.07.2018 00:00 - 17.07.2018 01:00,0,29
17.07.2018 01:00 - 17.07.2018 02:00,0,21
17.07.2018 02:00 - 17.07.2018 03:00,0,17
17.07.2018 03:00 - 17.07.2018 04:00,0,30
17.07.2018 04:00 - 17.07.2018 05:00,0,64
17.07.2018 05:00 - 17.07.2018 06:00,0,2
17.07.2018 06:00 - 17.07.2018 07:00,38,0
17.07.2018 07:00 - 17.07.2018 08:00,13,0
17.07.2018 08:00 - 17.07.2018 09:00,14,0
17.07.2018 09:00 - 17.07.2018 10:00,0,24
17.07.2018 10:00 - 17.07.2018 11:00,0,28
17.07.2018 11:00 - 17.07.2018 12:00,0,39
17.07.2018 12:00 - 17.07.2018 13:00,0,60
17.07.2018 13:00 - 17.07.2018 14:00,0,44
17.07.2018 14:00 - 17.07.2018 15:00,0,44
17.07.2018 15:00 - 17.07.2018 16:00,0,19
17.07.2018 16:00 - 17.07.2018 17:00,0,5
17.07.2018 17:00 - 17.07.2018 18:00,11,0
17.07.2018 18:00 - 17.07.2018 19:00,28,0
17.07.2018 19:00 - 17.07.2018 20:00,22,0
17.07.2018 20:00 - 17.07.2018 21:00,0,8
17.07.2018 21:00 - 17.07.2018 22:00,0,35
17.07.2018 22:00 - 17.07.2018 23:00,0,44
17.07.2018 23:00 - 18.07.2018 00:00,0,48
18.07.2018 00:00 - 18.07.2018 01:00,0,44
18.07.2018 01:00 - 18.07.2018 02:00,0,43
18.07.2018 02:00 - 18.07.2018 03:00,0,29
18.07.2018 03:00 - 18.07.2018 04:00,0,46
18.07.2018 04:00 - 18.07.2018 05:00,0,75
18.07.2018 05:00 - 18.07.2018 06:00,0,23
18.07.2018 06:00 - 18.07.2018 07:00,0,1
18.07.2018 07:00 - 18.07.2018 08:00,31,0
18.07.2018 08:00 - 18.07.2018 09:00,0,0
18.07.2018 09:00 - 18.07.2018 10:00,0,36
18.07.2018 10:00 - 18.07.2018 11:00,0,37
18.07.2018 11:00 - 18.07.2018 12:00,0,36
18.07.2018 12:00 - 18.07.2018 13:00,0,43
18.07.2018 13:00 - 18.07.2018 14:00,0,35
18.07.2018 14:00 - 18.07.2018 15:00,0,19
18.07.2018 15:00 - 18.07.2018 16:00,0,3
18.07.2018 16:00 - 18.07.2018 17:00,0,21
18.07.2018 17:00 - 18.07.2018 18:00,0,27
18.07.2018 18:00 - 18.07.2018 19:00,13,0
18.07.2018 19:00 - 18.07.2018 20:00,30,0
18.07.2018 20:00 - 18.07.2018 21:00,7,0
18.07.2018 21:00 - 18.07.2018 22:00,0,35
18.07.2018 22:00 - 18.07.2018 23:00,0,58
18.07.2018 23:00 - 19.07.2018 00:00,0,70
19.07.2018 00:00 - 19.07.2018 01:00,0,76
19.07.2018 01:00 - 19.07.2018 02:00,0,70
19.07.2018 02:00 - 19.07.2018 03:00,0,36
19.07.2018 03:00 - 19.07.2018 04:00,0,42
19.07.2018 04:00 - 19.07.2018 05:00,0,41
19.07.2018 05:00 - 19.07.2018 06:00,0,9
19.07.2018 06:00 - 19.07.2018 07:00,40,0
19.07.2018 07:00 - 19.07.2018 08:00,28,0
19.07.2018 08:00 - 19.07.2018 09:00,20,0
19.07.2018 09:00 - 19.07.2018 10:00,19,0
19.07.2018 10:00 - 19.07.2018 11:00,15,0
19.07.2018 11:00 - 19.07.2018 12:00,0,5
19.07.2018 12:00 - 19.07.2018 13:00,0,30
19.07.2018 13:00 - 19.07.2018 14:00,0,22
19.07.2018 14:00 - 19.07.2018 15:00,25,0
19.07.2018 15:00 - 19.07.2018 16:00,20,0
19.07.2018 16:00 - 19.07.2018 17:00,31,0
19.07.2018 17:00 - 19.07.2018 18:00,63,0
19.07.2018 18:00 - 19.07.2018 19:00,84,0
19.07.2018 19:00 - 19.07.2018 20:00,84,0
19.07.2018 20:00 - 19.07.2018 21:00,55,0
19.07.2018 21:00 - 19.07.2018 22:00,15,0
19.07.2018 22:00 - 19.07.2018 23:00,0,46
19.07.2018 23:00 - 20.07.2018 00:00,0,60
20.07.2018 00:00 - 20.07.2018 01:00,0,53
20.07.2018 01:00 - 20.07.2018 02:00,0,48
20.07.2018 02:00 - 20.07.2018 03:00,0,44
20.07.2018 03:00 - 20.07.2018 04:00,0,36
20.07.2018 04:00 - 20.07.2018 05:00,0,74
20.07.2018 05:00 - 20.07.2018 06:00,0,5
20.07.2018 06:00 - 20.07.2018 07:00,0,13
20.07.2018 07:00 - 20.07.2018 08:00,0,20
20.07.2018 08:00 - 20.07.2018 09:00,0,16
20.07.2018 09:00 - 20.07.2018 10:00,0,22
20.07.2018 10:00 - 20.07.2018 11:00,0,32
20.07.2018 11:00 - 20.07.2018 12:00,0,48
20.07.2018 12:00 - 20.07.2018 13:00,0,48
20.07.2018 13:00 - 20.07.2018 14:00,0,38
20.07.2018 14:00 - 20.07.2018 15:00,0,24
20.07.2018 15:00 - 20.07.2018 16:00,0,15
20.07.2018 16:00 - 20.07.2018 17:00,0,28
20.07.2018 17:00 - 20.07.2018 18:00,0,7
20.07.2018 18:00 - 20.07.2018 19:00,8,0
20.07.2018 19:00 - 20.07.2018 20:00,22,0
20.07.2018 20:00 - 20.07.2018 21:00,2,0
20.07.2018 21:00 - 20.07.2018 22:00,0,59
20.07.2018 22:00 - 20.07.2018 23:00,0,67
20.07.2018 23:00 - 21.07.2018 00:00,0,61
21.07.2018 00:00 - 21.07.2018 01:00,0,85
21.07.2018 01:00 - 21.07.2018 02:00,0,79
21.07.2018 02:00 - 21.07.2018 03:00,0,86
21.07.2018 03:00 - 21.07.2018 04:00,0,78
21.07.2018 04:00 - 21.07.2018 05:00,0,86
21.07.2018 05:00 - 21.07.2018 06:00,0,61
